Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,2434,3.62,111,0:06:46,12.5299
YT_RELATED.kHRjJ1UN0tM,Content,決断できない人が見落としている「何もしないコスト」｜不作為・機会費用・現状維持から考える意思決定の心理学,0,,5,0:05:13,0.4351
YT_RELATED.YPGpK9LfUi4,Content,いつも自分を後回しにしてる人へ｜自分を満たすと人生が変わり始める5つの理由【心理学】,6,0,3,0:06:50,0.3423
YT_RELATED.7vtY6b_nC8s,Content,聞き流すだけで9割が気づけば眠ってる癒し雑学【総集編/睡眠用】 #雑学,0,,3,0:07:30,0.3756
YT_RELATED.JPaeKIQig18,Content,【雑学】知らないと損！実はIQが高い人ほど感じる違和感9選！頭が良すぎる人の特徴とは？,3,66.67,3,0:06:08,0.3074
YT_RELATED.T00pmxbaPDc,Content,【睡眠用】寝ながら聴ける雑学聞き流しBGM【リラックス】【総集編】,2,50,2,0:13:33,0.4517
YT_RELATED.lGhsr0zGZG8,Content,優しい人にしかできないさりげない行動9選【雑学】,1,0,2,0:01:31,0.0507
YT_RELATED.VM2vlCjyBSI,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【BGM、聞き流し、総集編】,2,0,2,0:04:55,0.164
YT_RELATED.VzFYhsv9r60,Content,【心理学と脳科学】レジで「お願いします」と言う人は,8,12.5,2,0:08:35,0.2861
YT_RELATED.lOXKVk6woRw,Content,【全部後から】氷河期世代が赦してないこと9選,26,0,2,0:05:45,0.1918
YT_RELATED.VFBxAZ6SPCs,Content,［実体験］”たった1ヶ月で”私の人生が激変した15の習慣をシェア🔑✨,0,,2,0:00:01,0.0008
YT_RELATED.KRLwOT7AtA8,Content,聞き流すだけで「9割が」いつの間にか寝てる優しい雑学【総集編/睡眠用】 #雑学,1,0,2,0:10:48,0.3604
YT_RELATED.-_mRyS7IBCI,Content,【勝手に分かった気になる】人から嫌われる人の特徴3選 #心理学 #自己理解,0,,2,0:00:27,0.0155
YT_RELATED.uoIaCwAHoS8,Content,【心理学】１人でキャンプできる人に共通する意外すぎる3つの特徴｜孤独が至福の自由時間に変わる理由,9,11.11,2,0:08:10,0.2723
YT_RELATED.MvdL5T1hfz0,Content,【雑学】衝撃！IQが高い人に見られる異常なクセ10選,3,33.33,2,0:08:57,0.2984
YT_RELATED.uT09dPQpgsk,Content,継続の価値は上がり、才能の価値は下がっている｜テクノロジーと認知が変える「成功の構造」,8,12.5,2,0:09:35,0.32
YT_RELATED.ENIuN1_xrsE,Content,徳を積んできた人が人生後半で一気に報われる理由｜神様の“徳貯金”が動き出す瞬間,0,,1,0:05:06,0.0851
YT_RELATED.jXRThaNTZ9s,Content,あなたが思う以上に自分が魅力的であることを示す特徴9選【雑学】,1,100,1,0:15:07,0.2522
YT_RELATED.4-93V34Xty4,Content,【実は、神様に呼ばれてます！】1人で神社に行く人に起こること 5選 ～次々と幸運が舞い込む！1人参拝のすごい効果と不思議な体験～｜話したくなる雑学 #雑学 #豆知識 #トリビア,0,,1,0:12:53,0.2147
YT_RELATED.hAg8BP9PS1U,Content,【再編集SP】高校野球の売上いくら？／稼ごうとしない高野連／1000億コンテンツの価値【小林至のマネーボール】,1,100,1,0:16:50,0.2808
YT_RELATED.pqDKXYnVf7E,Content,【どん底の意味】人生の激変と変容プログラム/人生の大転機に起こること,0,,1,0:17:07,0.2854
YT_RELATED.W966ZJQQ7yY,Content,【心理学】愛されなかった子の成功法則｜「まだ足りない」と自分を追い込む心の正体,0,,1,0:01:07,0.0188
YT_RELATED.XPIzSPWInLo,Content,【雑学】実はIQが低い人の特徴12選！頭が悪い人の共通点とは？,0,,1,0:06:21,0.1059
YT_RELATED.9jZyTmdyTL8,Content,【50代】なぜか美人扱いされる人の共通点/顔立ち以上に大切なもの/脳と肌の関係,9,0,1,0:01:22,0.023
YT_RELATED.5XYURQLkYrY,Content,家の掃除を最優先にする人々の脳,3,33.33,1,0:02:05,0.035
YT_RELATED.7IrAEIkhG4c,Content,【心理学と脳科学】自分から挨拶する人は,1,100,1,0:14:13,0.2372
YT_RELATED.wDaWpM7kh2g,Content,【期間限定】TVアニメ「片田舎のおっさん、剣聖になる」第1話 無料公開,1,100,1,0:00:06,0.0018
YT_RELATED.evA-fRPXYR0,Content,iPhone 3G,0,,1,0:11:36,0.1934
YT_RELATED.qk8rIFl7wWA,Content,百鬼夜行抄１～２話＆おまけ話,1,100,1,0:00:53,0.0148
YT_RELATED.ny0NIi-skPk,Content,【心理学と脳科学】年下に敬語を使う人ほど,1,0,1,0:00:22,0.0062
