Traffic source,Source type,Source title,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,2465,3.65,109,0:06:44,12.2436
YT_RELATED.kHRjJ1UN0tM,Content,決断できない人が見落としている「何もしないコスト」｜不作為・機会費用・現状維持から考える意思決定の心理学,41,7.32,5,0:05:13,0.4351
YT_RELATED.lOXKVk6woRw,Content,【全部後から】氷河期世代が赦してないこと9選,40,5,2,0:05:45,0.1918
YT_RELATED.YPGpK9LfUi4,Content,いつも自分を後回しにしてる人へ｜自分を満たすと人生が変わり始める5つの理由【心理学】,38,7.89,3,0:06:50,0.3423
YT_RELATED.VzFYhsv9r60,Content,【心理学と脳科学】レジで「お願いします」と言う人は,33,6.06,2,0:08:35,0.2861
YT_RELATED.-Qaw9dbFgZ0,Content,カール・ユングによれば、最も希少な性格タイプは、通常、人生の後半になって成功を収めるという。,23,0,,,
YT_RELATED.KprZj0lNbFs,Content,努力が止まらなくなる条件｜行動を加速させる動機と環境の関係,23,4.35,1,0:13:50,0.2308
YT_RELATED.2SuEmbhHeZM,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【総集編、BGM、聞き流し】,22,0,,,
YT_RELATED.l_ZN4XJAMWQ,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【BGM、聞き流し】,22,4.55,1,0:08:37,0.1438
YT_RELATED.uoIaCwAHoS8,Content,【心理学】１人でキャンプできる人に共通する意外すぎる3つの特徴｜孤独が至福の自由時間に変わる理由,21,9.52,2,0:08:10,0.2723
YT_RELATED.5PBQYZ4jYIM,Content,本当に優しい人が見ている他人を観察する場所9選【雑学】,20,5,1,0:13:50,0.2307
YT_RELATED.qT5_tgCaofs,Content,期待に応え続けると自分を失い、全体主義に加担するかも｜社会に飲み込まれないための、期待を裏切る勇気,19,5.26,1,0:17:07,0.2855
YT_RELATED.rWiEte5r8Vg,Content,【心理学と脳科学】休日どこにも出かけない人は,19,0,,,
YT_RELATED.KE20DeBnGuQ,Content,【本当の知性】IQとEQが極めて高い人だけが持つ「異次元の思考」5つの特徴,17,5.88,1,0:06:40,0.1111
YT_RELATED.hLXQtPY6fW0,Content,【心理学と脳科学】人に執着しない人は,16,0,,,
YT_RELATED.gvyfPUR1R8k,Content,実はマジで超幸福な人７選〜早く気づけば人生が楽になる〜,16,0,1,0:00:42,0.0118
YT_RELATED.lvH_o-7zqQk,Content,【ベテランが消えた】誰も機械を直せない　氷河期世代の本音20選,14,0,,,
YT_RELATED.9jZyTmdyTL8,Content,【50代】なぜか美人扱いされる人の共通点/顔立ち以上に大切なもの/脳と肌の関係,14,0,1,0:01:22,0.023
YT_RELATED.Kj52gAyl8ko,Content,【雑学】実は1960年代生まれの異常な特徴５つ,14,7.14,1,0:00:45,0.0127
YT_RELATED.lGhsr0zGZG8,Content,優しい人にしかできないさりげない行動9選【雑学】,14,14.29,2,0:01:31,0.0507
YT_RELATED.MvdL5T1hfz0,Content,【雑学】衝撃！IQが高い人に見られる異常なクセ10選,14,14.29,2,0:08:57,0.2984
YT_RELATED.t1TQ7HCyPTE,Content,「何もしたくない」は正しい。何もしたくないと感じる人の脳で、静かに起きていること【脳科学・心理学】,13,7.69,1,0:17:07,0.2855
YT_RELATED.S0Qwfd6YHNs,Content,75歳を超えると体は4倍の速さで急激に壊れていく！この事実を知らない人だけが後悔する老後の生き方,12,0,,,
YT_RELATED.A4hCbOAR1H0,Content,実はあなた、かなり好かれています｜無意識に現れる5つのサイン【ユング心理学】,12,0,,,
YT_RELATED.use1L23mb3c,Content,【雑学】楽器を演奏するのが好きな人の特徴,11,0,,,
YT_RELATED.7wZbFWoRk7Q,Content,【雑学】９割の人が知らない心理の雑学【いつか役に立つ】,11,0,,,
YT_RELATED.zjyWkBokAsE,Content,『やらなかった後悔』が一生消えない本当の理由【心理学】/明日の幸せを科学する/ダニエル ギルバート,11,0,,,
YT_RELATED.lb840-X5sSw,Content,たった3日で脳の処理速度が40倍になる勉強法【科学的に証明】,11,0,,,
YT_RELATED.uT09dPQpgsk,Content,継続の価値は上がり、才能の価値は下がっている｜テクノロジーと認知が変える「成功の構造」,11,18.18,2,0:09:35,0.32
YT_RELATED.Ac3h5834lj4,Content,【ドジャース 3点差を跳ね返す逆転劇で5連勝を飾る！守護神スコットは19セーブ目】パイレーツvsドジャース MLB2026シーズン 8.23,10,0,,,
YT_RELATED.00sNs4gltb4,Content,【雑学】実は1970年代生まれの異常な特徴５つ,10,0,,,
YT_RELATED.d2-lgQmrCNQ,Content,【聞き流し】体脂肪率30%超えの女性はコレをやめないと永久に痩せません【知って得する健康雑学】【ダイエット】【総集編】【作業用】,10,10,1,0:05:38,0.0939
YT_RELATED.GcbZrzWsBF4,Content,【あの人が、急に態度を変えた】軽く扱われていた人が、丁寧に扱われ始めた理由7選【人間関係】,9,0,,,
YT_RELATED.Fv4nxUsRBUg,Content,知っていたなら得する恋愛雑学,9,11.11,1,0:00:26,0.0073
YT_RELATED.8FrUE4jT-Ug,Content,避難所で、最初の三日に起きること。行ってから知るのでは、遅すぎます,9,0,,,
YT_RELATED.34Jhv87t8qc,Content,優秀な人材から辞めていく会社には、共通の「見抜けない仕組み」がある【雑学】,9,0,,,
YT_RELATED.dW84EpKT-Uk,Content,【雑学】50代から幸せになる人の特徴,8,0,,,
YT_RELATED.2tUAGnVwjG8,Content,脳疲労が減っていく、科学が証明した最強の方法10選,8,0,,,
YT_RELATED.MQ5qhJ09wOE,Content,【神回】アニメ千年血戦篇45話 織姫、死す?!盾舜六花の新技に一護の新たな卍解「血鎖の一護」が強すぎたけどもうなにも考えたくない 【BLEACH】,8,0,,,
YT_RELATED.VFBxAZ6SPCs,Content,［実体験］”たった1ヶ月で”私の人生が激変した15の習慣をシェア🔑✨,8,0,2,0:00:01,0.0008
YT_RELATED.ex-GIQSFBhU,Content,【聞き流し・睡眠用】科学的根拠でモチベ爆上げ！筋トレ雑学24連発,8,12.5,1,0:00:46,0.013
YT_RELATED.KkK9Wb_aAug,Content,🌈すご過ぎる！アドラー心理学「課題の分離」,8,0,,,
YT_RELATED.5XYURQLkYrY,Content,家の掃除を最優先にする人々の脳,7,14.29,1,0:02:05,0.035
YT_RELATED.GRkiStZ0dIk,Content,【スカッと】30年尽くした会社の2代目社長が「派遣のジジィがPC使うなw社長権限で解雇だ」→「解雇できないよ?だって…」「え?」【漫画】【アニメ】【スカッとする話】【2ch】,7,0,,,
YT_RELATED.IRj54GEk_c0,Content,【衝撃】面白すぎて眠れなくなる体脂肪の話30選,7,0,,,
YT_RELATED.pGr9pPOQxFg,Content,【雑学】実は1960年代生まれに共通する「5つの力」! あなたも当てはまっていませんか？,7,0,,,
YT_RELATED.VM2vlCjyBSI,Content,【雑学】誰かに話したくなる9割の人が知らない健康や恋愛雑学を中心に面白い雑学を紹介【BGM、聞き流し、総集編】,7,28.57,2,0:04:55,0.164
YT_RELATED.rXI8a8e1xe0,Content,【新事実判明】アルカナ、大王エクレールを倒すため自ら闇堕ち...に対する反応集【プリキュア反応集】【名探偵プリキュア】【たんプリ】【第30話 「エクリプス・シャドウ」】【キュアアルカナ・シャドウ】,7,14.29,1,0:05:28,0.0914
YT_RELATED.3-i8HFXfhtE,Content,【もう期待しない】人に執着しない人が手放したもの #心理学 #自己理解,7,0,,,
YT_RELATED.dtMGDnZTdaE,Content,物欲が止まらない人へ。我慢ゼロで物欲を抑える方法を脳科学が見つけました【脳科学】,7,0,,,
YT_RELATED.VMEiB5GSO7k,Content,実はもう心が限界…今すぐ休んだ方がいいサイン10選【心理学】,7,14.29,1,0:00:47,0.0131
YT_RELATED.giITggrlKKo,Content,【閲覧注意】優しい人が恐ろしいほど「人間の本質」を見抜いている理由は【雑学】,7,0,,,
