Traffic source,Source type,Source title,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,3436,1.63,76,0:03:12,3.7437
YT_RELATED.olROOl9fo-I,Content,Number_iが描く「CRUISING PARADISE──3人だけの楽園へ」。スペシャルムービーを公開！,21,0,,,
YT_RELATED.hD343BC61Ks,Content,【風、薫る】次週予告 第23週「歩々清風」8/31(月)～放送予定 | 朝ドラ | NHK,20,5,1,0:00:25,0.0071
YT_RELATED.r3i0SYOEvkw,Content,なぜ施設に入った途端に弱ってしまうのか？元施設長が明かす「長生きできない老人ホーム」の共通点,19,0,,,
YT_RELATED.tULJvo8v6dk,Content,なぜ牛丼チェーンは 客が来ない深夜も店を開け続けるのか【ゆっくり解説】,15,0,,,
YT_RELATED.wmyIodna2lI,Content,【大人の事情】出張に行く新幹線で出会ったのは、妖艶な人妻で…,12,0,,,
YT_RELATED.BQqH6qo2HIA,Content,#313 【物の祟りに怯える女①】家族は片付けに無関心⁉️入居から10年4LDK㍇ひと部屋がダンボールだらけの家の片付けレシピ,12,0,,,
YT_RELATED.DGbSTo34E5g,Content,【山本由伸】7回8奪三振の好投も三連敗！レジェンドらが語った本音が話題【海外の反応 MLBメジャー 野球】,11,0,,,
YT_RELATED.P2JX_8pGH8w,Content,2026/8/28　ロシア経済、倒産ラッシュへ!! 国有銀行VTB株が約88％下落!! 燃料危機＆物流危機＆金融危機…ロシア経済「危険領域」へ!!,11,0,,,
YT_RELATED.uX_zmmUwGJ8,Content,"【※大緊急告知⚠️】8月28,29,30日《期限は48時間》すごい満月が来る！絶対逃すな！超重要な人生の節目《部分月食×魚座満月×スタージョンムーン》",11,0,,,
YT_RELATED.ugvuTSxD8Jg,Content,全く反省していない厳しいお仕置きを望みます。,9,0,,,
YT_RELATED.5RsZq6BtmdE,Content,「ダウンタイム」予告編 - Netflix,8,0,,,
YT_RELATED.0g-HNSjOBPU,Content,【初球被弾も7回途中1失点8奪三振の好投！山本由伸 投球ダイジェスト】ドジャースvsブレーブス MLB2026シーズン 8.28,8,12.5,1,0:00:07,0.002
