Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,1216,2.55,42,0:06:35,4.6155
YT_RELATED.sk_h03MYtu0,Content,メンタルが強い人の思考習慣【グレーな心理学】,0,,2,0:00:57,0.0317
YT_RELATED.-UxPKFBJj1U,Content,【心理学】なぜ独りを好むのか？科学が解明した、一人時間にだけ育つ「特別な力」の正体,1,100,1,0:00:20,0.0058
YT_RELATED.ohiMoWFxmbw,Content,動けないあなたへ。人生が動き出す8分　モチベーション【名言】,0,,1,0:01:19,0.022
YT_RELATED.STp4mWOKFus,Content,服好きだけどちゃんと性欲強い男【のぞき見コント】,1,100,1,0:14:34,0.243
YT_RELATED.Sw77ADAJ14Q,Content,史上初のスポライ開催！？TL80への準備も！火力最強アタッカー爆誕も熱い！9月の情報整理【 ポケモンGO 】【 GOバトルリーグ 】【 GBL 】,0,,1,0:01:27,0.0242
YT_RELATED.MR_gz2U7UvY,Content,「っす」は失礼じゃない。むしろ神。,0,,1,0:14:35,0.2431
YT_RELATED.mEKJDIPWw6k,Content,【衝撃告白で修羅場】彼氏が隠していた秘密とは？｜億万長者と玉の輿 ～セレブ妻は楽じゃない～ S1 EP19,1,100,1,0:14:34,0.2428
YT_RELATED.4p7bmYVa1JY,Content,【スカッと】同窓会予約をドタキャンする同級生50人「同級生全員で旅行中wボロ居酒屋はキャンセルw」→「同窓会?なんのこと」予約は入ってなく…【漫画】【アニメ】【スカッとする話】【2ch】,0,,1,0:00:56,0.0158
YT_RELATED.Y0OQJp9Wv_Y,Content,【話題書】「ストーリー思考」を世界一わかりやすく要約してみた【本要約】,0,,1,0:00:15,0.0044
YT_RELATED.NK3w1307Ckk,Content,【スカッと】宿泊費を奢らせようとする同僚「スイートルーム奢りありがとなw」→宿泊はテントなので着信無視したらw【漫画】【アニメ】【スカッとする話】【2ch】,1,0,1,0:14:34,0.243
YT_RELATED.thQWqRDZj7E,Content,"バッハ「G線上のアリア」　Bach ""Air on G String""",2,50,1,0:14:11,0.2366
YT_RELATED.g_shhN28uTI,Content,【人生初の温泉】「日本で死んでもいい…」初来日の韓国人が砂むし温泉に衝撃！まさかの体験に大感激！,0,,1,0:03:32,0.0589
YT_RELATED.JgIBMjqDTpE,Content,『エイペックス・プレデター』！R指定の痛快アクション！アクション女王シャーリーズ・セロン主演！極限状態で最凶の変態を返り討ち！,2,50,1,0:05:21,0.0894
YT_RELATED.G1RzjMIwpr0,Content,【癒し系ピノ】こんなにかわいい猫パンチみたことある？,0,,1,0:02:58,0.0497
YT_RELATED.GJjYlTjNV8g,Content,【心理学】1人の時間を好む人ほど「メンタルが強い」驚きの理由。脳科学が明かした静かな力の正体。,0,,1,0:14:34,0.243
