Traffic source,Source type,Source title,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,1247,2.57,41,0:06:42,4.5802
YT_RELATED.PDbhIRR9kwg,Content,【祟りか?】『平将門の首塚』に抱きつく迷惑配信者→その2日後とんでもない事に【ゆっくり解説】,19,0,,,
YT_RELATED.GJjYlTjNV8g,Content,【心理学】1人の時間を好む人ほど「メンタルが強い」驚きの理由。脳科学が明かした静かな力の正体。,11,9.09,1,0:14:34,0.243
YT_RELATED.VolpY3RqNI0,Content,【漫画】一瞬で縁が切れる！どれだけ親しくても絶対に言ってはいけないこと7選,9,11.11,1,0:00:34,0.0097
YT_RELATED.3JS5WCOp5G4,Content,【海外の反応】日本のオタククリエイターが海外に行かない理由が海外でミームしてたｗ,9,0,,,
YT_RELATED.4SprJOnxZ9k,Content,【海外の反応】「日本なんて知らない方がよかった！」20か国以上旅したフランス人女性が初来日！絶品日本食と激安フレンチに感激！帰国後猛烈日本ロスで母絶叫のあり得ない行動にw,6,0,,,
YT_RELATED.9pNB13KuOsQ,Content,コメ業者「去年の10倍くらいある」→倉庫いまだにパンパンな模様,6,0,,,
YT_RELATED.vHpHHUmkUMw,Content,【この動画はすぐ消すかも】「この方法でポルノやめたら、男も女も300%人生激変した。地上波では報道されることのない、残酷な真実。脳が壊れるインターネットポルノ依存症」【本要約】,5,0,,,
YT_RELATED.MpcdS_JlqbA,Content,【一触即発】女子の定義を巡って論争の渦中にある女子バスケリーグを観戦しにいった元NBA選手エネスカンターフリーダムが会場から追い出される！リーグ関係者が語るリーグの方針とは・・・,5,20,1,0:05:46,0.0963
YT_RELATED.21XqrBwxCIM,Content,親子で料理！笠原家の【ソース焼きそば】を作ってみた,5,20,1,0:00:01,0.0005
YT_RELATED.kHRjJ1UN0tM,Content,決断できない人が見落としている「何もしないコスト」｜不作為・機会費用・現状維持から考える意思決定の心理学,5,0,,,
YT_RELATED.WOmJma2QD4U,Content,【Number_i】東京ファンミDAY2！平野紫耀がまさかの「恋リア出たい」発言!? 新ギャルポーズ爆誕！？会場大盛り上がりの最新レポ！,4,0,,,
YT_RELATED.2ZCaiCiIoIs,Content,【Number_i】 ファンミ2日目レポ！ 恋愛話で大盛り上がり！平野くん、恋愛リアリティーショー出たいんだよね！,4,0,,,
YT_RELATED.H_C55JZFzDw,Content,「頭に常に負荷をかけろ」賢さを作る習慣と10年後に差が出る思考の視点【岡田斗司夫/切り抜き/サイコパスおじさん/岡田斗司夫セミナー/人生相談/論理的思考】,4,0,,,
YT_RELATED.8S42dlSZlI4,Content,【衝撃】マクドナルドを食べたら血糖値はどれくらい変わるのか？医者が自分で検証してみた。,4,0,,,
YT_RELATED.hL8p1vSRttE,Content,マヤ暦大みそか来る！あなたの運気がぐんぐん高まる金運アップアクションをご紹介【8月26日】,4,0,,,
YT_RELATED.wNaPaVtgvxc,Content,"立ち退き補償金4,000万円を受け取った義母は、3,500万円の家を末っ子に買い、私たちには100万円だけ渡した。ところが後日、スーツケースを持って現れ、「これからは親孝行して私の面倒を見なさい」",3,0,,,
YT_RELATED.CpZD3WTj8xA,Content,日本の海に起きた異常。大量絶滅が始まるかもしれません【 都市伝説 】,3,0,,,
YT_RELATED.DlsfO43KmcU,Content,妻を全員の裏切った感想,3,0,,,
YT_RELATED.xmUNvcmKDwc,Content,【トリックアート】猫にドッキリを仕掛けてみた！まさかの結果に!!,3,0,,,
YT_RELATED.AdqWXqK5xms,Content,Number_i東京ファンミ初日徹底レポ✨❗珍回答・キロット先生・客席かくれんぼ…“iLYsとの距離”が近すぎた✨❗3人がiLYsに見せた素顔Numbers Ur'26✨❗#number_i,3,0,,,
YT_RELATED.NIMa3fGN7vQ,Content,【激辛ポテチで救急搬送】バズ動画をマネした学生の悲劇５選,3,0,,,
